-87,-982,1776,241,-237,-240,2176
-45,-992,1641,-1069,-1469,-1239,2190
-52,-1057,1742,2844,-2462,-2293,2200
-79,-1056,1757,658,-1078,-365,2209
-61,-1069,1743,23,-26,-51,2218
-55,-1065,1736,22,-26,-51,2228
-69,-1069,1742,23,-24,-51,2237
-61,-1069,1745,21,-24,-52,2246
-59,-1062,1737,23,-26,-51,2255
-58,-1062,1742,26,-24,-50,2265
-58,-1059,1749,24,-25,-50,2274
-66,-1068,1756,23,-24,-51,2283
-62,-1059,1741,21,-22,-50,2293
-65,-1071,1737,22,-24,-51,2302
-61,-1060,1743,21,-25,-52,2311
-65,-1068,1740,21,-26,-50,2320
-58,-1064,1744,20,-26,-49,2330
-66,-1062,1753,21,-25,-46,2339
-57,-1065,1755,19,-24,-44,2349
-48,-1071,1756,19,-26,-46,2358
-64,-1056,1755,21,-24,-48,2367
-67,-1061,1748,20,-23,-48,2376
-66,-1065,1747,18,-25,-49,2386
-64,-1062,1733,19,-24,-50,2395
-70,-1062,1754,20,-25,-51,2404
-64,-1069,1736,23,-29,-53,2414
-63,-1067,1741,23,-29,-55,2423
-63,-1063,1746,27,-29,-57,2432
-65,-1070,1740,26,-32,-57,2441
-58,-1060,1733,26,-31,-57,2451
-51,-1066,1752,25,-31,-56,2460
-59,-1055,1753,24,-31,-56,2469
-61,-1057,1746,22,-28,-55,2478
-74,-1068,1761,23,-28,-55,2488
-64,-1078,1737,26,-32,-57,2497
-69,-1074,1745,30,-32,-58,2507
-65,-1062,1747,30,-34,-60,2515
-65,-1061,1744,31,-35,-63,2525
-60,-1056,1740,34,-38,-65,2534
-77,-1059,1760,34,-36,-67,2544
-55,-1061,1738,34,-36,-68,2553
-76,-1067,1773,36,-36,-69,2562
-51,-1073,1754,34,-37,-71,2571
-59,-1058,1758,34,-36,-69,2581
-63,-1060,1750,33,-34,-68,2590
-51,-1059,1735,31,-35,-66,2599
-60,-1059,1762,30,-31,-64,2609
-58,-1065,1755,29,-31,-62,2618
-51,-1063,1751,28,-31,-60,2627
-58,-1068,1755,25,-30,-57,2636
-52,-1067,1753,25,-29,-54,2646
-65,-1067,1751,29,-29,-56,2655
-55,-1069,1753,31,-33,-61,2664
-57,-1044,1743,31,-31,-62,2674
-65,-1062,1747,30,-27,-65,2683
-58,-1068,1736,31,-31,-64,2692
-68,-1058,1766,32,-27,-65,2701
-35,-1064,1753,28,-30,-63,2711
-40,-1063,1745,26,-28,-60,2720
-63,-1061,1760,26,-24,-58,2729
-62,-1063,1761,24,-27,-56,2739
-53,-1060,1755,26,-30,-57,2748
-59,-1061,1752,27,-28,-56,2757
-50,-1058,1746,25,-28,-57,2766
-46,-1066,1758,23,-26,-54,2776
-70,-1059,1770,25,-27,-54,2785
-54,-1068,1743,25,-31,-56,2794
-42,-1068,1756,28,-31,-55,2804
-53,-1051,1764,31,-28,-56,2813
-36,-1060,1753,27,-30,-53,2822
-45,-1062,1752,30,-27,-52,2831
-62,-1062,1763,29,-29,-54,2841
-50,-1058,1751,27,-30,-53,2850
-51,-1070,1759,26,-27,-53,2860
-64,-1066,1747,22,-25,-51,2869
-57,-1066,1750,22,-26,-51,2878
-55,-1064,1747,22,-26,-52,2887
-53,-1063,1746,24,-28,-54,2896
-59,-1062,1738,27,-28,-53,2906
-64,-1057,1762,31,-29,-53,2915
-43,-1048,1761,28,-28,-52,2925
-51,-1048,1751,21,-27,-52,2934
-73,-1079,1739,18,-22,-51,2943
-66,-1065,1739,19,-22,-49,2952
-64,-1064,1744,20,-26,-51,2961
-58,-1063,1756,22,-28,-53,2971
-54,-1057,1749,23,-28,-53,2980
-52,-1050,1759,25,-26,-54,2990
-51,-1056,1749,22,-26,-53,2999
-50,-1065,1753,21,-24,-53,3008
-62,-1064,1749,20,-23,-53,3017
-61,-1059,1761,21,-26,-53,3027
-61,-1063,1756,24,-26,-54,3036
-51,-1054,1745,22,-26,-53,3045
-60,-1064,1760,19,-25,-54,3055
-58,-1068,1750,20,-24,-53,3064
-50,-1066,1755,19,-24,-53,3073
-60,-1065,1747,20,-28,-55,3083
-63,-1064,1738,26,-27,-58,3092
-55,-1063,1754,24,-27,-55,3101
-60,-1060,1748,21,-25,-53,3110
-64,-1058,1751,22,-26,-55,3120
-65,-1062,1766,24,-29,-56,3129
-57,-1068,1754,24,-30,-56,3138
-67,-1061,1767,25,-26,-57,3147
-56,-1064,1757,24,-29,-58,3157
-46,-1064,1758,24,-29,-58,3166
-49,-1058,1760,24,-27,-58,3175
-56,-1071,1756,23,-28,-57,3185
-59,-1070,1754,22,-27,-57,3194
-48,-1069,1755,24,-29,-57,3203
-59,-1067,1751,24,-30,-58,3212
-65,-1065,1759,23,-27,-57,3222
-53,-1071,1757,23,-27,-60,3231
-54,-1075,1755,27,-31,-60,3240
-56,-1059,1757,28,-29,-58,3250
-57,-1067,1760,25,-28,-58,3259
-55,-1060,1758,25,-28,-57,3268
-58,-1064,1760,24,-30,-56,3278
-64,-1072,1755,25,-28,-57,3287
-56,-1065,1751,25,-29,-57,3296
-49,-1066,1759,24,-31,-57,3305
-59,-1067,1755,26,-29,-58,3315
-53,-1063,1754,25,-31,-58,3324
-53,-1065,1754,24,-30,-59,3334
-50,-1063,1752,26,-30,-59,3342
-64,-1061,1764,28,-29,-60,3352
-48,-1067,1756,26,-30,-59,3361
-50,-1065,1758,26,-29,-58,3371
-52,-1054,1764,28,-30,-61,3380
-56,-1059,1750,29,-33,-61,3389
-56,-1065,1758,26,-30,-57,3398
-49,-1066,1756,25,-29,-57,3408
-59,-1069,1759,27,-28,-58,3417
-61,-1066,1759,26,-30,-57,3426
-50,-1071,1761,26,-29,-57,3436
-50,-1069,1755,28,-29,-55,3445
-57,-1063,1760,29,-30,-56,3454
-47,-1071,1755,29,-31,-57,3463
-53,-1056,1757,30,-32,-58,3473
-54,-1069,1761,29,-29,-58,3482
-54,-1067,1753,28,-31,-58,3491
-44,-1067,1778,26,-30,-57,3501
-57,-1066,1751,26,-29,-55,3510
-56,-1067,1757,25,-29,-55,3519
-56,-1061,1756,23,-29,-55,3528
-66,-1065,1766,27,-30,-56,3538
-53,-1058,1761,27,-28,-56,3547
-49,-1061,1758,25,-28,-54,3557
-52,-1066,1754,25,-28,-54,3565
-49,-1062,1759,26,-28,-54,3575
-58,-1062,1760,25,-29,-53,3584
-60,-1065,1756,25,-28,-55,3594
-51,-1073,1756,25,-29,-54,3603
-61,-1061,1762,26,-29,-53,3612
-56,-1063,1752,27,-30,-53,3621
-52,-1069,1756,29,-29,-53,3631
-52,-1069,1762,30,-29,-53,3640
-57,-1065,1762,32,-29,-53,3649
-56,-1065,1745,34,-31,-54,3659
-50,-1062,1755,33,-32,-54,3668
-62,-1054,1761,30,-32,-54,3677
-60,-1057,1761,32,-30,-53,3687
-45,-1055,1762,31,-31,-54,3696
-53,-1057,1757,30,-28,-55,3705
-52,-1058,1754,28,-27,-53,3714
-51,-1056,1759,24,-27,-52,3724
-57,-1066,1755,21,-26,-52,3733
-58,-1054,1759,23,-24,-53,3742
-52,-1055,1756,22,-26,-53,3751
-57,-1054,1763,21,-25,-52,3761
-58,-1067,1761,21,-24,-52,3770
-53,-1061,1768,22,-25,-52,3779
-57,-1067,1758,21,-26,-53,3789
-58,-1059,1762,22,-26,-53,3798
-59,-1057,1761,20,-26,-53,3807
-53,-1055,1758,22,-26,-52,3817
-54,-1068,1758,22,-26,-53,3826
-55,-1066,1755,24,-29,-54,3835
-50,-1059,1750,23,-28,-53,3844
-61,-1064,1757,22,-28,-55,3854
-63,-1058,1763,23,-27,-55,3863
-53,-1064,1750,21,-27,-56,3872
-40,-1062,1750,23,-28,-56,3882
-55,-1058,1757,22,-27,-56,3891
-54,-1064,1758,23,-28,-57,3900
-51,-1069,1754,25,-28,-57,3909
